Gender,Age,Income (USD),Income Stability,Property Age,Property Location,Property Price,Loan Sanction Amount (USD)
F,19,1641.25,Low,1651.25,Rural,59641.82,21026.42075
M,29,1989.71,Low,1990.71,Urban,179858.51,60595.18337
F,37,1849.91,Low,1856.91,Rural,117297.62,39181.648
M,65,2735.18,High,2747.18,Rural,354417.72,128497.7109
F,62,4741.78,High,4740.78,Urban,82049.8,39386.91934
F,28,1912.18,Low,1919.18,Urban,28692.18,10055.74385
F,59,1586.55,Low,1584.55,Urban,142026.71,45336.36565
F,21,6229.34,Low,6229.34,Semi-Urban,221243.65,79562.98518
F,60,904.26,Low,901.26,Rural,49290.34,13545.64037
F,61,1523.72,Low,1514.72,Urban,59790.35,17486.11612
M,48,3304.16,Low,3311.16,Semi-Urban,169435.14,56800.13296
M,29,1229.15,Low,1232.15,Semi-Urban,154625.37,51204.50506
F,26,1908.34,Low,1892.34,Rural,72536.56,25064.00416
M,44,1048.5,Low,1035.5,Urban,36710.88,10353.94158
M,52,4536.2,Low,4542.2,Rural,51885.66,18532.42574
M,64,2421.95,Low,2425.95,Rural,153129.29,49429.19445
F,63,2011.78,Low,2018.78,Rural,255426.63,83689.66681
M,18,2082.12,Low,2083.12,Urban,123717.08,42701.23789
F,45,2112.39,Low,2120.39,Semi-Urban,241098.46,80128.22065
M,20,4188.41,Low,4177.41,Rural,148387.75,53115.73023
M,50,2667.44,Low,2684.44,Semi-Urban,286184.9,95213.64611
F,48,4008.66,Low,4005.66,Semi-Urban,155542.02,53084.84579
F,22,1080.78,Low,1071.78,Semi-Urban,273309.88,91704.2999
M,64,1360.43,Low,1371.43,Rural,121407.82,37691.67923
F,56,2909.46,Low,2894.46,Semi-Urban,108637.12,35565.93887
M,59,1933.04,Low,1928.04,Urban,53751.07,15799.94564
F,25,1735.87,Low,1735.87,Rural,123777.66,42187.45113
F,18,2651.52,Low,2664.52,Urban,77774.69,28093.30512
M,59,3105.79,Low,3105.79,Urban,65064.59,20802.05133
F,60,2598.35,Low,2591.35,Semi-Urban,144184.16,46876.17143
M,29,2503.98,Low,2500.98,Semi-Urban,102567.51,35018.13705
M,38,3465.78,Low,3461.78,Semi-Urban,245791.45,83399.86121
M,18,2383.76,Low,2396.76,Semi-Urban,148110.68,51072.06387
F,45,5244.8,Low,5253.8,Rural,349048.08,119869.1275
F,59,2715.89,Low,2711.89,Urban,192449.71,63427.86237
M,46,3011.55,Low,3019.55,Urban,135363.52,45352.43173
F,46,2750.56,Low,2740.56,Rural,165053,55423.59045
F,29,2873.42,Low,2859.42,Urban,178654.92,61323.16171
M,43,905.09,Low,900.09,Semi-Urban,31931.3,8547.108764
F,29,2576.91,Low,2577.91,Semi-Urban,227156.98,77182.21253
M,30,4134.01,Low,4136.01,Semi-Urban,124751.62,44060.29549
M,48,1247.31,Low,1246.31,Rural,25794.55,6717.8816
F,38,1940.98,Low,1956.98,Urban,142033.09,47371.35409
M,30,1623.89,Low,1624.89,Urban,261277.32,87491.59487
F,18,2973.72,Low,2973.72,Rural,71274.35,26370.44439
M,65,932.15,High,928.15,Semi-Urban,38324.77,20190.57132
F,56,4108.41,Low,4102.41,Rural,267581.19,90463.54032
M,53,776.47,Low,785.47,Urban,29907.83,7089.844947
F,22,2165.19,Low,2161.19,Urban,164919.52,56543.92123
F,18,2404.79,Low,2405.79,Semi-Urban,51419.48,18843.96958
M,21,4067.8,Low,4072.8,Urban,301091.84,104078.8066
M,19,3164.88,Low,3162.88,Urban,65838.39,24285.60756
M,56,1715.39,Low,1710.39,Urban,78498.18,24127.56513
F,20,2788.89,Low,2777.89,Rural,69844.08,25537.16531
F,38,1953.98,Low,1939.98,Urban,142033.09,47369.30898
F,51,4382.19,Low,4389.19,Rural,134290.79,46371.77263
F,62,1743.4,High,1730.4,Semi-Urban,19348.08,15114.63573
M,62,2070.36,Low,2067.36,Semi-Urban,173633.5,55836.19727
M,51,3353.6,Low,3352.6,Semi-Urban,120452.99,40155.56956
F,34,1541.1,Low,1537.1,Rural,89271.34,29683.19203
F,40,2294.74,Low,2292.74,Semi-Urban,261353.31,87508.95372
F,20,3227.57,Low,3214.57,Rural,153779.61,54179.7004
F,18,2445.13,Low,2449.13,Semi-Urban,156395.82,54149.6065
F,40,4191.51,Low,4190.51,Rural,170340.93,59152.55341
